product_id,sku,product_name,description,category,subcategory,vendor_id,price,cost,currency,weight_kg,stock_quantity,reorder_level,rating,review_count,is_active,created_date,last_updated,tags,_source_file,_loaded_at
PRD-000012,SKU-58393,Modern Mechanical Keyboard,Premium modern mechanical keyboard designed for maximum performance.,Electronics,Cameras,VND-002,586.67,378.9,USD,21.53,127,21,4.0,3377,false,25-Dec-2021,2022-01-06T00:00:00,"electronics,cameras,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000013,SKU-24168,Classic Travel Guide,Our Classic Travel Guide combines style and functionality.,Books & Media,Non-Fiction,VND-006,388.71,168.1,USD,21.8,204,11,3.0,944,1,2024-11-05,2025-03-18T00:00:00,"books-media,non-fiction,eco-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000014,SKU-55309,Compact Denim Jeans,High-quality compact denim jeans perfect for everyday use.,Clothing,Men's Wear,VND-005,731.25,429.9,USD,-6.44,473,29,4.7,4154,False,07/11/2023,2024-04-13T00:00:00,"clothing,men's-wear,trending,sale,budget-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000015,SKU-59695,modern sports bra,Discover the ultimate modern sports bra for your needs.,Clothing,Women's Wear,VND-005,680.53,383.51,USD,7.24,335,28,4.6,4222,true,2022/06/23,2023-05-28T00:00:00,"clothing,women's-wear,eco-friendly,sale,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000016,SKU-29313,Professional Bike Helmet,High-quality professional bike helmet perfect for everyday use.,Sports & Outdoors,Camping Gear,VND-004,34.17,16.6,USD,4.94,124,45,1.9,2041,1,2023-11-09,2024-01-10T00:00:00,"sports-outdoors,camping-gear,new-arrival,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000017,SKU-76162,Ultra Travel Guide,Our Ultra Travel Guide combines style and functionality.,Books & Media,Magazines,VND-006,432.46,153.67,USD,21.01,248,24,2.3,3137,False,2021/07/16,2022-07-06T00:00:00,"books-media,magazines,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000018,SKU-81121,essential swimming goggles,Premium essential swimming goggles designed for maximum performance.,Sports & Outdoors,Water Sports,VND-004,471.26,233.41,USD,22.03,482,27,3.9,3570,false,2024/03/23,2024-11-26T00:00:00,"sports-outdoors,water-sports,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000019,SKU-26728,Smart Technical Manual,Premium smart technical manual designed for maximum performance.,Books & Media,Non-Fiction,VND-006,980.9,478.8,USD,10.77,133,44,4.8,426,False,2021/03/09,2021-09-04T00:00:00,"books-media,non-fiction,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000020,SKU-36130,Deluxe Bluetooth Speaker,Experience the best in electronics with our Deluxe Bluetooth Speaker.,Electronics,Smartphones,VND-002,840.83,445.91,USD,17.52,310,34,1.4,3249,1,2024-01-11,2024-04-21T00:00:00,"electronics,smartphones,eco-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000021,SKU-88697,Premium Fitness Tracker,Premium premium fitness tracker designed for maximum performance.,Sports & Outdoors,Team Sports,VND-004,807.46,441.17,USD,-1.82,215,44,2.7,3960,1,2020/08/04,2021-03-30T00:00:00,"sports-outdoors,team-sports,budget-friendly,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000022,SKU-21359,Smart Workout Leggings,Our Smart Workout Leggings combines style and functionality.,Clothing,Women's Wear,VND-005,286.13,168.25,USD,12.41,181,41,3.1,4548,false,11-28-2021,2022-03-31T00:00:00,"clothing,women's-wear,trending,premium,budget-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000023,SKU-63005,Deluxe Makeup Brush Set,Our Deluxe Makeup Brush Set combines style and functionality.,Beauty & Personal Care,Skincare,VND-008,694.86,261.7,USD,18.67,138,40,3.1,2265,true,2021-04-17,2022-02-12T00:00:00,"beauty-personal-care,skincare,eco-friendly,sale,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000024,SKU-49618,Premium Tennis Racket,Experience the best in sports & outdoors with our Premium Tennis Racket.,Sports & Outdoors,Camping Gear,VND-004,24.0,15.09,USD,15.98,6,35,2.0,4028,False,2022/08/19,2022-09-25T00:00:00,"sports-outdoors,camping-gear,premium,budget-friendly,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000025,SKU-21164,Smart Food Processor,High-quality smart food processor perfect for everyday use.,Home & Kitchen,Bedding,VND-003,993.97,546.89,USD,13.11,440,26,4.0,665,false,05-28-2022,2022-08-16T00:00:00,"home-kitchen,bedding,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000026,SKU-87832,Modern Power Bank,Experience the best in electronics with our Modern Power Bank.,Electronics,Smartphones,VND-002,475.2,293.22,USD,6.69,411,48,4.3,4662,true,2022-05-20,2022-10-14T00:00:00,"electronics,smartphones,bestseller,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000027,SKU-74722,Advanced Workout Leggings,Experience the best in clothing with our Advanced Workout Leggings.,Clothing,Kids' Wear,VND-005,443.37,309.82,USD,24.05,486,37,3.6,4028,true,04-15-2024,2024-05-31T00:00:00,"clothing,kids'-wear,sale,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000028,SKU-53228,ESSENTIAL HISTORY BOOK,Discover the ultimate essential history book for your needs.,Books & Media,Fiction,VND-006,417.52,251.59,USD,2.29,395,50,1.2,3621,0,2022-11-19,2022-12-15T00:00:00,"books-media,fiction,sale",products.csv,2026-02-10T22:25:28.068809
PRD-000029,SKU-73532,classic coffee maker,Our classic coffee maker combines style and functionality.,Home & Kitchen,Decor,VND-003,130.2,51.75,USD,10.26,58,45,2.1,1184,no,28/08/2020,2021-03-12T00:00:00,"home-kitchen,decor,eco-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000030,SKU-64387,Premium Kitchen Scale,Discover the ultimate premium kitchen scale for your needs.,Home & Kitchen,Furniture,VND-003,346.47,183.19,USD,14.54,228,24,4.7,3365,false,12-07-2021,2021-12-29T00:00:00,"home-kitchen,furniture,premium,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000031,SKU-14852,Professional Science Kit,Premium professional science kit designed for maximum performance.,Toys & Games,Action Figures,VND-007,134.97,61.01,USD,0.48,496,30,4.4,3997,1,08-19-2022,2023-05-23T00:00:00,"toys-games,action-figures,eco-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000032,SKU-47667,Professional Bluetooth Speaker,Premium professional bluetooth speaker designed for maximum performance.,Electronics,Smartwatches,VND-002,997.44,542.4,USD,22.6,150,34,4.2,1972,False,01/06/2022,2023-02-10T00:00:00,"electronics,smartwatches,new-arrival,budget-friendly,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000033,SKU-70981,Deluxe Wool Sweater,Premium deluxe wool sweater designed for maximum performance.,Clothing,Kids' Wear,VND-005,902.19,278.57,USD,24.05,154,35,3.3,2248,1,2022/02/26,2022-03-02T00:00:00,"clothing,kids'-wear,budget-friendly,premium,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000034,SKU-56179,Ultra Shampoo Formula,Experience the best in beauty & personal care with our Ultra Shampoo Formula.,Beauty & Personal Care,Haircare,VND-008,226.8,116.2,USD,7.79,374,27,4.1,1347,0,08-27-2021,2022-01-05T00:00:00,"beauty-personal-care,haircare,budget-friendly,sale",products.csv,2026-02-10T22:25:28.068809
PRD-000035,SKU-28449,Essential History Book,Our Essential History Book combines style and functionality.,Books & Media,Entertainment,VND-006,756.6,326.25,USD,0.45,344,49,1.9,1813,1,20-Jun-2021,2022-05-17T00:00:00,"books-media,entertainment,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000036,SKU-15943,Professional Perfume Essence,High-quality professional perfume essence perfect for everyday use.,Beauty & Personal Care,Fragrances,VND-008,946.79,296.43,USD,11.4,484,33,3.5,1779,1,17/04/2023,2023-11-30T00:00:00,"beauty-personal-care,fragrances,new-arrival,sale",products.csv,2026-02-10T22:25:28.068809
PRD-000037,SKU-94518,Professional Power Bank,Discover the ultimate professional power bank for your needs.,Electronics,Cameras,VND-002,365.08,222.61,USD,16.02,170,48,1.9,23,0,14-Sep-2020,2021-02-02T00:00:00,"electronics,cameras,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000038,SKU-13379,SMART WOOL SWEATER,Discover the ultimate smart wool sweater for your needs.,Clothing,Men's Wear,VND-005,140.48,44.58,USD,6.71,58,43,2.8,2470,0,2022/09/02,2023-04-24T00:00:00,"clothing,men's-wear,bestseller,budget-friendly,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000039,SKU-68138,Professional Remote Control Car,High-quality professional remote control car perfect for everyday use.,Toys & Games,Board Games,VND-007,82.75,39.06,USD,13.75,271,24,3.6,3389,false,01-Nov-2022,2023-04-23T00:00:00,"toys-games,board-games,trending,budget-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000040,SKU-43408,Professional Bluetooth Speaker,High-quality professional bluetooth speaker perfect for everyday use.,Electronics,Headphones,VND-002,380.55,246.31,USD,2.5,284,13,4.5,2356,yes,24-Feb-2023,2023-12-28T00:00:00,"electronics,headphones,sale,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000041,SKU-24184,Modern Swimming Goggles,Our Modern Swimming Goggles combines style and functionality. - Special: résumé,Sports & Outdoors,Water Sports,VND-004,356.6,157.05,USD,14.07,345,21,3.8,1173,0,23-Feb-2020,2020-12-08T00:00:00,"sports-outdoors,water-sports,trending,bestseller,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000042,SKU-59308,Advanced Monitor Stand,Premium advanced monitor stand designed for maximum performance.,Electronics,Smartwatches,VND-001,425.62,200.88,USD,3.97,41,28,1.9,4858,0,2023/09/17,2024-05-23T00:00:00,"electronics,smartwatches,premium,sale,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000043,SKU-36794,modern running shoes,High-quality modern running shoes perfect for everyday use.,Sports & Outdoors,Cycling,VND-004,308.4,163.55,USD,18.7,360,46,2.8,3313,0,02-18-2023,2024-02-16T00:00:00,"sports-outdoors,cycling,trending,sale,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000044,SKU-91018,Essential Board Game Classic,High-quality essential board game classic perfect for everyday use.,Toys & Games,Educational Toys,VND-007,465.49,275.08,USD,13.15,173,19,1.8,1935,0,14/05/2024,2024-07-05T00:00:00,"toys-games,educational-toys,sale",products.csv,2026-02-10T22:25:28.068809
PRD-000045,SKU-95918,Deluxe Swimming Goggles,High-quality deluxe swimming goggles perfect for everyday use.,Sports & Outdoors,Cycling,VND-004,84.59,27.28,USD,23.11,319,42,3.5,607,0,07-08-2023,2023-12-13T00:00:00,"sports-outdoors,cycling,trending,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000046,SKU-21835,Compact Wireless Headphones,Our Compact Wireless Headphones combines style and functionality.,Electronics,Tablets,VND-001,618.85,246.98,USD,16.33,77,38,1.3,3599,True,2022-07-11,2023-04-05T00:00:00,"electronics,tablets,eco-friendly,new-arrival,sale",products.csv,2026-02-10T22:25:28.068809
PRD-000047,SKU-54350,Advanced Cookbook,Discover the ultimate advanced cookbook for your needs.,Books & Media,Entertainment,VND-006,682.1,239.81,USD,9.73,493,15,4.7,2536,yes,23/11/2024,2025-09-05T00:00:00,"books-media,entertainment,premium,sale",products.csv,2026-02-10T22:25:28.068809
PRD-000048,SKU-76648,Classic Storage Container,Discover the ultimate classic storage container for your needs.,Home & Kitchen,Storage,VND-003,368.2,198.42,USD,5.74,432,19,2.3,1329,true,05-Nov-2022,2023-02-05T00:00:00,"home-kitchen,storage,budget-friendly,eco-friendly,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000049,SKU-41133,Deluxe Perfume Essence,Our Deluxe Perfume Essence combines style and functionality.,Beauty & Personal Care,Fragrances,VND-008,969.88,607.88,USD,20.23,188,48,3.0,1133,true,2023/03/14,2023-07-20T00:00:00,"beauty-personal-care,fragrances,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000050,SKU-77621,Modern Body Lotion,Discover the ultimate modern body lotion for your needs.,Beauty & Personal Care,Personal Hygiene,VND-008,852.64,265.41,USD,10.99,230,16,2.5,2746,false,2020/02/24,2020-05-08T00:00:00,"beauty-personal-care,personal-hygiene,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000051,SKU-71487,Modern Running Shorts,Discover the ultimate modern running shorts for your needs.,Clothing,Women's Wear,VND-005,-454.11,,USD,18.21,147,44,1.4,134,0,2020-09-06,2021-07-26T00:00:00,"clothing,women's-wear,eco-friendly,new-arrival,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000052,SKU-41531,Compact Wool Sweater,Our Compact Wool Sweater combines style and functionality.,Clothing,Men's Wear,VND-005,574.95,341.05,USD,12.73,199,50,2.4,849,false,2020/03/30,2021-01-21T00:00:00,"clothing,men's-wear,budget-friendly,sale,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000053,SKU-94252,Deluxe Smart Watch,Discover the ultimate deluxe smart watch for your needs.,Electronics,Cameras,VND-001,183.33,110.24,USD,19.43,22,22,4.3,2343,True,03-26-2020,2020-09-24T00:00:00,"electronics,cameras,budget-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000054,SKU-67272,Essential Children's Book,Experience the best in books & media with our Essential Children's Book.,Books & Media,Fiction,VND-006,890.58,376.36,USD,12.49,410,48,2.3,3490,1,2022-05-19,2022-08-12T00:00:00,"books-media,fiction,trending,sale,budget-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000055,SKU-45986,Essential Mechanical Keyboard,Experience the best in electronics with our Essential Mechanical Keyboard.,Electronics,Cameras,VND-001,643.06,201.25,usd,,434,19,2.5,3685,0,2024/05/19,2024-11-24T00:00:00,"electronics,cameras,trending,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000056,SKU-46528,Deluxe Water Filter,High-quality deluxe water filter perfect for everyday use.,Home & Kitchen,Decor,VND-003,257.11,160.49,USD,6.62,313,30,4.6,2846,False,02/10/2022,2023-09-30T00:00:00,"home-kitchen,decor,eco-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000057,SKU-93584,Classic Winter Jacket,Premium classic winter jacket designed for maximum performance.,Clothing,Women's Wear,VND-005,182.34,63.84,USD,9.09,282,30,4.1,607,False,2020-06-25,2021-02-10T00:00:00,"clothing,women's-wear,premium,eco-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000058,SKU-33850,Premium Cookbook,Discover the ultimate premium cookbook for your needs.,Books & Media,Magazines,VND-006,770.09,385.84,USD,4.13,485,20,3.5,4848,False,2021-08-04,2022-05-28T00:00:00,"books-media,magazines,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000059,SKU-94076,smart art collection,High-quality smart art collection perfect for everyday use.,Books & Media,Fiction,VND-006,773.3,295.1,USD,22.24,154,48,1.6,1176,no,2024/07/06,2024-12-13T00:00:00,"books-media,fiction,sale,premium,budget-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000060,SKU-23917,Classic Remote Control Car,Our Classic Remote Control Car combines style and functionality.,Toys & Games,Educational Toys,VND-007,325.91,162.79,USD,9.67,443,29,1.6,4074,no,07-24-2024,2024-08-04T00:00:00,"toys-games,educational-toys,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000061,SKU-16377,Deluxe Hair Dryer,Discover the ultimate deluxe hair dryer for your needs.,Beauty & Personal Care,Haircare,VND-008,60.03,28.82,USD,10.83,391,45,3.2,2291,1,2020/04/02,2021-02-15T00:00:00,"beauty-personal-care,haircare,eco-friendly,bestseller,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000062,SKU-54444,smart webcam hd,Discover the ultimate smart webcam hd for your needs.,Electronics,Tablets,VND-002,562.24,302.2,USD,1.07,265,42,2.6,4175,1,26-May-2023,2024-02-22T00:00:00,"electronics,tablets,premium,eco-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000063,SKU-98317,Premium Workout Leggings,Discover the ultimate premium workout leggings for your needs.,Clothing,Men's Wear,VND-005,118.5,37.05,USD,19.59,369,17,2.5,1562,false,10/09/2022,2022-09-19T00:00:00,"clothing,men's-wear,sale,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000064,SKU-75774,Premium Coffee Maker,Our Premium Coffee Maker combines style and functionality.,Home & Kitchen,Storage,VND-003,777.21,325.96,USD,24.95,489,29,1.8,2367,1,12-27-2022,2023-12-22T00:00:00,"home-kitchen,storage,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000065,SKU-45842,Essential Nail Polish Set,Experience the best in beauty & personal care with our Essential Nail Polish Set.,Beauty & Personal Care,Fragrances,VND-008,294.9,104.66,USD,7.33,177,49,3.2,4807,1,09-05-2023,2024-01-05T00:00:00,"beauty-personal-care,fragrances,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000066,SKU-53292,Premium Tennis Racket,High-quality premium tennis racket perfect for everyday use.,Sports & Outdoors,Fitness Equipment,VND-004,720.17,428.84,USD,16.36,333,12,1.4,1434,1,08-11-2021,2022-03-12T00:00:00,"sports-outdoors,fitness-equipment,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000067,SKU-47941,Professional Stuffed Animal,Our Professional Stuffed Animal combines style and functionality.,Toys & Games,Action Figures,VND-007,-877.97,,USD,13.63,435,10,2.8,2761,true,12/07/2021,2021-12-10T00:00:00,"toys-games,action-figures,premium,new-arrival,budget-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000068,SKU-62538,ADVANCED PUZZLE SET,Experience the best in toys & games with our ADVANCED PUZZLE SET.,Toys & Games,Puzzles,VND-007,672.55,386.33,$,9.65,168,29,1.5,961,yes,20-Jan-2024,2024-12-12T00:00:00,"toys-games,puzzles,sale,eco-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000069,SKU-69634,Compact Bike Helmet,Our Compact Bike Helmet combines style and functionality.,Sports & Outdoors,Camping Gear,VND-004,750.25,496.03,USD,20.66,305,22,3.3,4691,1,16-Jun-2020,2021-03-17T00:00:00,"sports-outdoors,camping-gear,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000070,SKU-86434,Premium Travel Guide,Experience the best in books & media with our Premium Travel Guide.,Books & Media,Fiction,VND-006,493.93,255.1,USD,14.14,157,13,1.2,565,False,03-21-2022,2022-11-17T00:00:00,"books-media,fiction,sale",products.csv,2026-02-10T22:25:28.068809
PRD-000071,SKU-94656,Deluxe Card Game,Experience the best in toys & games with our Deluxe Card Game.,Toys & Games,Action Figures,VND-007,964.13,548.98,USD,16.58,178,44,4.0,3474,no,2023/01/05,2023-10-04T00:00:00,"toys-games,action-figures,budget-friendly,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000072,SKU-34704,Essential Swimming Goggles,High-quality essential swimming goggles perfect for everyday use.,Sports & Outdoors,Team Sports,VND-004,938.03,333.99,USD,0.49,17,28,1.9,1918,True,2023-10-08,2024-07-28T00:00:00,"sports-outdoors,team-sports,eco-friendly,budget-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000073,SKU-96535,Compact Technical Manual,Our Compact Technical Manual combines style and functionality.,Books & Media,Educational,VND-006,526.03,316.55,USD,15.69,497,40,2.6,1974,true,2023/08/10,2023-12-03T00:00:00,"books-media,educational,budget-friendly,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000074,SKU-64592,Classic Storage Container,High-quality classic storage container perfect for everyday use.,Home & Kitchen,Cookware,VND-003,561.7,217.27,USD,21.19,97,23,4.0,2727,1,11-Feb-2022,2022-07-16T00:00:00,"home-kitchen,cookware,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000075,SKU-89220,Advanced Running Shoes,Our Advanced Running Shoes combines style and functionality.,Sports & Outdoors,Water Sports,VND-004,706.72,456.28,USD,9.05,254,19,2.5,132,0,2024/07/02,2024-11-12T00:00:00,"sports-outdoors,water-sports,eco-friendly,budget-friendly,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000076,SKU-59786,Advanced Leather Belt,Premium advanced leather belt designed for maximum performance.,Clothing,Women's Wear,VND-005,574.08,292.54,USD,18.12,375,14,4.6,397,True,12/12/2020,2020-12-15T00:00:00,"clothing,women's-wear,new-arrival,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000077,SKU-47941,smart bike helmet,Premium smart bike helmet designed for maximum performance.,Sports & Outdoors,Camping Gear,VND-004,461.44,235.22,USD,-13.35,369,25,4.6,1572,False,2021-08-10,2022-06-23T00:00:00,"sports-outdoors,camping-gear,sale,budget-friendly,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000078,SKU-70161,Professional Building Blocks,Our Professional Building Blocks combines style and functionality.,Toys & Games,Educational Toys,VND-007,569.34,380.13,USD,-13.86,87,24,4.4,1731,1,2024/09/27,2025-09-16T00:00:00,"toys-games,educational-toys,trending,sale,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000079,SKU-14312,Classic Monitor Stand,Discover the ultimate classic monitor stand for your needs.,,,VND-002,187.55,93.83,USD,20.54,288,32,4.0,439,False,2024/09/05,2024-10-25T00:00:00,"new-arrival,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000080,SKU-67272,Compact Art Collection,Premium compact art collection designed for maximum performance.,Books & Media,Educational,VND-006,785.7,349.07,USD,16.55,408,15,3.5,42,0,2020-05-30,2020-11-03T00:00:00,"books-media,educational,sale,budget-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000081,SKU-68830,Professional Mechanical Keyboard,Experience the best in electronics with our Professional Mechanical Keyboard.,Electronics,Smartphones,VND-002,561.41,228.81,USD,-19.63,211,27,1.7,4039,true,22-Jun-2020,2020-09-04T00:00:00,"electronics,smartphones,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000082,SKU-20082,Deluxe Outdoor Play Set,Our Deluxe Outdoor Play Set combines style and functionality.,Toys & Games,Outdoor Toys,VND-007,367.5,130.26,USD,,202,30,2.7,4941,0,2023/06/24,2024-06-13T00:00:00,"toys-games,outdoor-toys,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000083,SKU-48200,Classic Children's Book,Experience the best in books & media with our Classic Children's Book.,Books & Media,Entertainment,VND-006,737.52,419.79,US$,9.88,303,18,2.2,2480,yes,03-Jan-2021,2021-05-06T00:00:00,"books-media,entertainment,premium,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000084,SKU-88372,ESSENTIAL DOLLHOUSE,Our ESSENTIAL DOLLHOUSE combines style and functionality.,Toys & Games,Board Games,VND-007,484.43,332.67,USD,24.21,304,31,3.5,3526,yes,2020-06-23,2020-08-16T00:00:00,"toys-games,board-games,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000085,SKU-83137,Essential Casual Sneakers,Experience the best in clothing with our Essential Casual Sneakers.,Clothing,Accessories,VND-005,584.7,288.36,USD,12.56,53,40,2.4,799,1,2020-06-24,2021-02-03T00:00:00,"clothing,accessories,premium,trending,sale",products.csv,2026-02-10T22:25:28.068809
PRD-000086,SKU-25084,Ultra Tablet Pro,Premium ultra tablet pro designed for maximum performance.,Electronics,Smartphones,VND-002,32.35,17.37,USD,8.34,408,34,3.9,36,no,12/01/2021,2022-01-07T00:00:00,"electronics,smartphones,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000087,SKU-80371,Modern Casual Sneakers,Our Modern Casual Sneakers combines style and functionality.,Clothing,Accessories,VND-005,195.08,67.72,USD,14.96,178,29,3.4,958,0,26-Jul-2022,2022-10-27T00:00:00,"clothing,accessories,premium,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000088,SKU-60293,Ultra Dollhouse,Premium ultra dollhouse designed for maximum performance.,Toys & Games,Puzzles,VND-007,428.8,199.93,USD,4.76,443,38,3.0,4003,no,2020/01/20,2020-04-14T00:00:00,"toys-games,puzzles,eco-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000089,SKU-39470,Deluxe Webcam HD,Premium deluxe webcam hd designed for maximum performance.,Electronics,Tablets,VND-001,542.22,352.4,USD,6.77,277,12,4.3,3684,1,2020/03/26,2020-08-07T00:00:00,"electronics,tablets,budget-friendly,bestseller",products.csv,2026-02-10T22:25:28.068809
