review_id,product_id,customer_id,rating,title,review_text,helpful_votes,verified_purchase,review_date,sentiment,images,response_responder,response_response_text,response_response_date,response,_source_file,_loaded_at
REV-000011,PRD-000003,CUS-00000901,4,Perfect for my runs,These running shorts are lightweight and comfortable. The hidden pocket fits my phone perfectly and doesn't bounce. Good moisture wicking too. Only wish they came in more colors.,28,true,2025-02-10,positive,[],,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000012,PRD-000006,CUS-00000012,5,Water tastes so much better,I didn't realize how bad my tap water tasted until I got this filter. The difference is night and day. Installation was easy - no plumber needed. Filter replacement is simple and the app reminds you when it's time. Highly recommend for anyone with hard water!,67,true,2025-01-20,positive,"[""filter_installed.jpg""]",,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000013,PRD-000009,CUS-00000234,4,Good quality cookware,Heavy-duty and well-made. Non-stick coating works great - eggs slide right off. Heats evenly. The handles stay cool which is a nice touch. Took off one star because the lids don't have steam vents.,54,true,2025-02-05,positive,[],,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000014,PRD-000016,CUS-00000345,5,Safety first!,"Light, comfortable, and MIPS certified. Ventilation is excellent - no more sweaty head on long rides. The magnetic buckle is genius - so easy to clip and unclip with one hand. Saved my head in a minor fall last week. Don't cheap out on helmets, folks!",189,true,2025-03-15,positive,"[""helmet_side.jpg"", ""helmet_vents.jpg""]",TechStore Safety,We're so glad the helmet protected you! Safety is our top priority. Thank you for sharing - your review might save someone else's life too. Stay safe out there! 🚴,2025-03-16,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000015,PRD-000002,CUS-00000456,3,"Good game, but missing pieces","The game itself is fun and educational - my kids love it. However, when we opened the box, we were missing 3 cards from the deck. Had to contact support for replacements. Game quality is good once we got all the pieces.",42,true,2025-01-25,neutral,[],TechStore Team,We're sorry about the missing pieces! Quality control should have caught this. Glad our support team could help. We've flagged this batch for inspection. Thank you for your patience!,2025-01-26,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000016,PRD-INVALID,CUS-00000567,5,Exceeded expectations,Ordered this on a whim and it turned out to be one of my best purchases. Quality is outstanding and it looks even better in person than in the photos. Fast shipping too!,31,true,2025-03-18,positive,[],,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000017,PRD-000014,CUS-00000678,4,"Great jeans, runs small","Quality denim, feels premium. Nice dark wash that doesn't fade quickly. However, they run about one size small. I normally wear 32 and had to exchange for 34. Order a size up!",234,true,2025-02-12,positive,[],TechStore Fashion,Great tip about the sizing! We've updated the product page with a size guide that accounts for this. Thanks for helping other customers!,2025-02-13,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000018,PRD-000015,CUS-00000789,5,Finally found the perfect sports bra,"After trying at least 10 different sports bras, this one is THE ONE. High impact support without feeling like you're being squeezed to death. The moisture-wicking is incredible - stayed dry during a hot yoga session. The straps don't dig in. Already ordered two more!",445,true,2025-01-30,positive,[],,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000019,PRD-000018,CUS-00000890,2,Fogged up immediately,These goggles fogged up within 5 minutes of getting in the pool. Anti-fog my foot. Had to stop multiple times to clear them. Very frustrating for lap swimming. Will be returning.,89,true,2025-03-08,negative,[],TechStore Sports,"We're sorry these didn't work for you. Tip: never wipe the inside of the lenses as this removes the anti-fog coating. If you did this by accident, we'd be happy to send a replacement with care instructions. Contact support@techstore.com",2025-03-09,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000020,PRD-000011,CUS-00000901,4,Warm and cozy,Beautiful sweater - the wool is soft and doesn't itch. Keeps me warm without overheating. The fit is a little boxy but that's the style I guess. Hand wash only which is a bit annoying but expected for wool.,56,true,2025-02-18,positive,"[""sweater_fit.jpg""]",,,,,product_reviews.json,2026-02-11T07:14:54.110402
"",PRD-000007,CUS-00000111,5,Worth the investment,"This standing desk is built like a tank. Super stable, quiet motor, and the cable management is thoughtful. Been using it daily for 3 months with zero issues. If you're on the fence, just do it. Your body will thank you.",167,true,2025-03-20,positive,[],,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000022,PRD-000004,CUS-00000222,-1,DONT BUY!!!,SCAM! The monitor arrived BROKEN. Screen was cracked. Box looked fine so it was packaged broken. AVOID!!! Customer service was unhelpful. Still waiting for refund after 3 WEEKS!!!,12,false,2025-03-22,negative,"[""broken_screen.jpg""]",TechStore Manager,"We take this very seriously. Our records show your refund was processed on March 10th. Please check with your bank. If you still don't see it, call us at 1-800-TECHSTOR and ask for a manager directly. We want to resolve this.",2025-03-22,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000023,PRD-000005,CUS-00000333,5,Office essential,"As someone who works in a noisy open office, these headphones are a lifesaver. The noise cancellation lets me focus, and the mic quality is great for calls. Battery easily lasts my whole work week. Premium feel and the case is handy for travel.",98,true,2025-03-25,positive,"[""headphones_case.jpg""]",,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000024,PRD-000013,CUS-00000444,4,Useful travel companion,Comprehensive guide with good local tips. Maps are clear and the restaurant recommendations were spot-on. Wish it was updated more recently - some info was outdated (a few restaurants had closed). Still a solid resource for trip planning.,43,true,2025-02-01,positive,[],,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000025,PRD-000001,CUS-00000555,,Review pending,"Just received it yesterday, will update after testing...",2,true,25/03/2025,,[],,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000026,PRD-000010,CUS-00000666,5,Perfect tablet for artists,"As a digital artist, display quality is crucial. This tablet's screen is gorgeous - accurate colors, minimal parallax with the stylus, and smooth performance. The 120Hz display makes drawing feel natural. Replaced my much more expensive competitor tablet with this!",278,true,2025-03-01,positive,"[""artwork1.jpg"", ""artwork2.jpg"", ""setup.jpg""]",TechStore Creative,"Wow, your artwork is stunning! Would you be interested in being featured in our Creator Spotlight series? DM us on social media if you're interested! 🎨",2025-03-02,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000027,PRD-000008,CUS-00000777,3,"Good chair, difficult assembly","The chair itself is comfortable and well-built. BUT the assembly was a nightmare. Instructions were confusing, some screws were mislabeled, and it took 3 hours instead of the advertised 45 minutes. Had to watch YouTube videos to figure it out. Chair is great once assembled though.",156,true,2025-02-22,neutral,[],TechStore Team,Thank you for this feedback. We've heard similar comments and are working with the manufacturer to improve the instructions. We now also offer professional assembly for $49 - wish we could have offered that to you!,2025-02-23,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000028,PRD-000006,CUS-00000888,5,No more buying bottled water,"This filter paid for itself in 2 months. Water tastes clean and fresh. Easy to install under the sink - took maybe 20 minutes. The flow rate is good, no noticeable delay. Highly recommend if you're tired of buying bottled water!",89,true,2025-03-10,positive,[],,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000029,PRD-000012,CUS-00000999,4,"Great keyboard, RGB could be better","Typing experience is excellent - the Cherry MX switches feel amazing. Build quality is solid metal. My only complaint is the RGB software is clunky and doesn't have as many effects as competitors. But for pure typing, this is hard to beat.",67,true,2025-03-18,positive,"[""kb_rgb.jpg""]",,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000030,PRD-000009,CUS-00000100,5,Professional quality at home,"I cook a lot and have gone through many cookware sets. This one is on par with what I used in culinary school. Even heating, durable construction, and the nonstick actually works without needing tons of oil. Worth the splurge!",134,true,2025-02-14,positive,"[""cooking1.jpg"", ""cooking2.jpg""]",,,,,product_reviews.json,2026-02-11T07:14:54.110402
